client_name,client_id,enabled
411Locals,1377,TRUE
Ad Pages Solutions,2059,TRUE
Advance Local,40,TRUE
Amplify,2078,TRUE
Boca Broadly,1413,TRUE
BW Digital Publishing,2067,TRUE
Chrispy Media Group,2034,TRUE
Draft Media Partners,2082,TRUE
Frostbite Marketing,2075,TRUE
Gray Television,1354,TRUE
Homefield Digital - Managed Services,2040,TRUE
LocalLook,2055,TRUE
McClatchy AdAuto & Custom,1140,TRUE
McClatchy Interactive,1033,TRUE
Net72 Limited,2064,TRUE
Spectrum Reach,1101,TRUE
Sproutloud,1075,TRUE
TecNation CAD,2068,TRUE
TecNation USD,2071,TRUE
The Worx Company,2073,TRUE
TSG POS,2079,TRUE
TurboFuel,2062,TRUE
Vivial,1254,TRUE
XDC MB,2077,TRUE
